id,datetime,year,month,country,state,city,lat,lon,shape,description,duration,has_image,confidence,confidence_city_level,date_index,description_length
1,2017-06-25 00:00:00,2017,6,GB,State4,City4,-32.668859815456685,-158.48714953425815,Unknown,Seen a dim triangle object in the sky,21.46,1,0.39787893427988436,0.6782418024346529,2017-06,37
2,2017-02-20 00:00:00,2017,2,ZA,State1,City6,-10.763812477184928,-53.902365355852496,Disc,Seen a rotating light object in the sky,3.74,0,0.6627121364956557,0.8661655300677611,2017-02,39
3,2014-07-12 00:00:00,2014,7,FR,State3,City2,14.795360762415683,151.10567307765854,Sphere,Seen a dim light object in the sky,3.18,0,0.7002974415197885,0.4022315792555743,2014-07,34
4,2018-12-09 00:00:00,2018,12,BR,State5,City6,46.435293746090096,165.87593044023623,Disc,Seen a dim light object in the sky,0.07,0,0.4380087791995942,0.5137393524608641,2018-12,34
5,2012-04-15 00:00:00,2012,4,BR,State4,City9,14.259140188965176,50.603253667638626,Triangle,Seen a slow triangle object in the sky,6.02,0,0.5637354008524809,0.25259008911062475,2012-04,38
6,2012-02-03 00:00:00,2012,2,RU,State3,City5,-43.984623487807866,67.91339411413688,Disc,Seen a slow light object in the sky,9.78,0,0.21777743022029877,0.36190885354140556,2012-02,35
7,2014-09-28 00:00:00,2014,9,CN,State4,City6,57.66961593447388,-164.7163840588119,Sphere,Seen a bright light object in the sky,1.42,1,0.5297490589033013,0.5417773704608843,2014-09,37
8,2019-05-25 00:00:00,2019,5,ZA,State1,City4,44.61428817065915,5.2129227922372365,Disc,Seen a bright disc object in the sky,1.89,0,0.6784967074693741,0.5158787294254666,2019-05,36
9,2012-10-30 00:00:00,2012,10,CA,State5,City7,0.32649133743888825,16.87254437028284,Unknown,Seen a dim sphere object in the sky,3.47,0,0.5790172557886024,0.9554707551042029,2012-10,35
10,2010-10-05 00:00:00,2010,10,CA,State4,City10,50.68175781559596,-57.56373139531999,Unknown,Seen a slow triangle object in the sky,0.37,0,0.5151591266536207,0.6216093146943741,2010-10,38
11,2014-11-14 00:00:00,2014,11,RU,State3,City10,4.9656952508562995,-155.30513948860164,Disc,Seen a bright sphere object in the sky,0.47,0,0.44170355397910455,0.5469800232515054,2014-11,38
12,2015-01-03 00:00:00,2015,1,RU,State2,City7,50.79672814669958,-97.59326409921816,Triangle,Seen a dim cylinder object in the sky,2.73,1,0.4029811976612897,0.6918925184158832,2015-01,37
13,2017-04-01 00:00:00,2017,4,RU,State4,City6,39.58768423240119,-51.12578272996933,Unknown,Seen a bright light object in the sky,1.51,0,0.47313763922092955,0.6053757105484785,2017-04,37
14,2018-08-09 00:00:00,2018,8,ZA,State2,City7,56.194369235315676,-23.348884854121337,Unknown,Seen a slow cylinder object in the sky,2.6,1,0.2672838292645534,0.3828592926804302,2018-08,38
15,2019-09-15 00:00:00,2019,9,US,State3,City5,50.373937293379,32.73362119208491,Triangle,Seen a slow sphere object in the sky,3.03,0,0.7415688467447366,0.47462245120745017,2019-09,36
16,2017-04-02 00:00:00,2017,4,ZA,State4,City8,-55.67594190857166,80.0609467313651,Cylinder,Seen a dim disc object in the sky,18.71,0,0.5846315960592225,0.8797913765254615,2017-04,33
17,2019-07-01 00:00:00,2019,7,CA,State5,City10,-39.027359500687204,-65.65252562137938,Cylinder,Seen a rotating sphere object in the sky,14.44,0,0.48463444486800744,0.8607575401928763,2019-07,40
18,2016-06-20 00:00:00,2016,6,CA,State1,City2,-13.30383874785771,-61.576646429166075,Light,Seen a dim light object in the sky,0.75,0,0.4070292837758992,0.6514470636672351,2016-06,34
19,2011-12-07 00:00:00,2011,12,RU,State1,City8,54.25712367545049,-172.91100861946666,Cylinder,Seen a dim triangle object in the sky,10.71,0,0.48944905697633856,0.803897046327863,2011-12,37
