column-city,column-state,column-country,count,lat,lon
,,Unspecified,10,,
,,International Waters,7,,
,-,USA,5,,
Joshua Tree,CA,USA,4,,
,CA,USA,3,,
,England,United Kingdom,3,,
Moab,UT,USA,3,,
Sonoita,AZ,USA,3,,
,KY,USA,2,,
Blairsville,GA,USA,2,,
,AR,USA,2,,
,ID,USA,2,,
Boonsboro,MD,USA,2,,
Sequim,WA,USA,2,,
NNW of Lake George Village,NY,USA,2,,
Waterboro,ME,USA,2,,
Ontario (Canada),ON,Canada,2,,
Ball Ground,GA,USA,2,,
Gulf of Mexico,LA,USA,2,,
Leesville,LA,USA,2,,
Los Olivos,CA,USA,1,,
Painted Post,NY,USA,1,,
Dunnellon,FL,USA,1,,
Pornic,Pays de la Loire,France,1,,
Schuylerville,NY,USA,1,,
Lone Pine,CA,USA,1,,
Manheim,PA,USA,1,,
Passage West,County Cork,Ireland,1,,
Hemlock,NY,USA,1,,
Copalis Beach,WA,USA,1,,
Mechanicville,NY,USA,1,,
Leeds,ME,USA,1,,
,,Mexico,1,,
Saint Marys,ON,Canada,1,,
Watson Lake,YT,Canada,1,,
Nuggetty,Victoria,Australia,1,,
Port St. Lucie,FL,USA,1,,
Loon Lake,WA,USA,1,,
San Vicente,Nayarit,Mexico,1,,
Lyefjell,Rogaland,Norway,1,,
Henriette,MN,USA,1,,
Narrowsburg,NY,USA,1,,
Wortham,England,United Kingdom,1,,
Weed,CA,USA,1,,
Trapper Creek,AK,USA,1,,
Snohomish,WA,USA,1,,
Maltby,WA,USA,1,,
Greycliff,MT,USA,1,,
,AK,USA,1,,
Morinville,AB,Canada,1,,
Spencer,WI,USA,1,,
Wagener,SC,USA,1,,
Köngäs,Lappi,Finland,1,,
Parkton,NC,USA,1,,
Dillsburg,PA,USA,1,,
Atoka,TN,USA,1,,
Calera,OK,USA,1,,
Chillowist,WA,USA,1,,
Bous,Remich,Luxembourg,1,,
Lakeview,OR,USA,1,,
Hebron,MD,USA,1,,
Tredegar,Wales,United Kingdom,1,,
Mountain Center,CA,USA,1,,
Esmont,VA,USA,1,,
Tillamook,OR,USA,1,,
Deatsville,AL,USA,1,,
Eastover,SC,USA,1,,
Spearfish,SD,USA,1,,
Moose Heights,BC,Canada,1,,
,,Greenland,1,,
Marathon,FL,USA,1,,
Reef Station,CA,USA,1,,
