column-city,column-state,column-country,count,lat,lon
,,Unspecified,10,,
,,International Waters,7,,
,-,USA,5,40.71427,-74.00597
Joshua Tree,CA,USA,4,40.71427,-74.00597
,CA,USA,3,40.71427,-74.00597
,England,United Kingdom,3,51.50853,-0.12574
Moab,UT,USA,3,40.71427,-74.00597
Sonoita,AZ,USA,3,40.71427,-74.00597
,KY,USA,2,40.71427,-74.00597
Blairsville,GA,USA,2,36.52977,-87.35945
,AR,USA,2,40.71427,-74.00597
,ID,USA,2,40.71427,-74.00597
Boonsboro,MD,USA,2,40.71427,-74.00597
Sequim,WA,USA,2,40.71427,-74.00597
NNW of Lake George Village,NY,USA,2,40.71427,-74.00597
Waterboro,ME,USA,2,42.49276,-92.34296
Ontario (Canada),ON,Canada,2,43.70011,-79.4163
Ball Ground,GA,USA,2,45.78095,-122.53343
Gulf of Mexico,LA,USA,2,40.71427,-74.00597
Leesville,LA,USA,2,33.04623,-96.99417
Los Olivos,CA,USA,1,40.71427,-74.00597
Painted Post,NY,USA,1,40.71427,-74.00597
Dunnellon,FL,USA,1,40.71427,-74.00597
Pornic,Pays de la Loire,France,1,48.85341,2.3488
Schuylerville,NY,USA,1,39.71734,-74.96933
Lone Pine,CA,USA,1,40.71427,-74.00597
Manheim,PA,USA,1,33.83529,-117.9145
Passage West,County Cork,Ireland,1,53.33306,-6.24889
Hemlock,NY,USA,1,34.87905,-76.90133
Copalis Beach,WA,USA,1,40.71427,-74.00597
Mechanicville,NY,USA,1,37.60876,-77.37331
Leeds,ME,USA,1,53.79648,-1.54785
,,Mexico,1,19.42847,-99.12766
Saint Marys,ON,Canada,1,43.70011,-79.4163
Watson Lake,YT,Canada,1,43.70011,-79.4163
Nuggetty,Victoria,Australia,1,-33.86785,151.20732
Port St. Lucie,FL,USA,1,27.29393,-80.35033
Loon Lake,WA,USA,1,40.71427,-74.00597
San Vicente,Nayarit,Mexico,1,-26.61667,-54.13333
Lyefjell,Rogaland,Norway,1,59.91273,10.74609
Henriette,MN,USA,1,43.05923,-77.61222
Narrowsburg,NY,USA,1,40.71427,-74.00597
Wortham,England,United Kingdom,1,51.50853,-0.12574
Weed,CA,USA,1,40.71427,-74.00597
Trapper Creek,AK,USA,1,40.71427,-74.00597
Snohomish,WA,USA,1,40.71427,-74.00597
